DATA,co
1997-01-01,1.7133
1997-01-02,1.6083
1997-01-03,1.8983
1997-01-04,1675.0
1997-01-05,2012.0
1997-01-06,2458.0
1997-01-07,3228.0
1997-01-08,3966.0
1997-01-09,3.7217
1997-01-10,4.5267
1997-01-11,3.7667
1997-01-12,3.4433
1997-01-13,3.9433
1997-01-14,3825.0
1997-01-15,3.7017
1997-01-16,4.0917
1997-01-17,2.4117
1997-01-18,1.79
1997-01-19,2.0183
1997-01-20,3.1567
1997-01-21,3378.0
1997-01-22,3.94
1997-01-23,3308.0
1997-01-24,3.5017
1997-01-25,3095.0
1997-01-26,2.5386
1997-01-27,3.8629
1997-01-28,3.5483
1997-01-29,4.0517
1997-01-30,4.14
1997-01-31,2862.0
1997-02-01,2.55
1997-02-02,2.3075
1997-02-03,2.6433
1997-02-04,3.31
1997-02-05,2.9533
1997-02-06,3.2
1997-02-07,2.7943
1997-02-08,1.9514
1997-02-09,2.0757
1997-02-10,2.5943
1997-02-11,4.03
1997-02-12,2.5786
1997-02-13,3.0929
1997-02-14,3.93
1997-02-15,4.22
1997-02-16,2.6829
1997-02-17,3.29
1997-02-18,3.4757
1997-02-19,4.1557
1997-02-20,4.05
1997-02-21,3.2343
1997-02-22,2.6186
1997-02-23,3.1386
1997-02-24,2.65
1997-02-25,2.85
1997-02-26,2.4571
1997-02-27,2615.0
1997-02-28,2.46
1997-03-01,1.7571
1997-03-02,1.5471
1997-03-03,3.3586
1997-03-04,3.03
1997-03-05,3.3814
1997-03-06,3.5267
1997-03-07,3.9233
1997-03-08,2.79
1997-03-09,2.0717
1997-03-10,2.8267
1997-03-11,2.8643
1997-03-12,4.2757
1997-03-13,3.8586
1997-03-14,2.9729
1997-03-15,2.7171
1997-03-16,2.3
1997-03-17,1.9714
1997-03-18,2.1371
1997-03-19,2.3871
1997-03-20,2.6443
1997-03-21,2.5114
1997-03-22,2.1129
1997-03-23,2.1543
1997-03-24,3.6543
1997-03-25,2.1371
1997-03-26,2.2683
1997-03-27,1.9171
1997-03-28,1.6057
1997-03-29,1.1414
1997-03-30,1.7071
1997-03-31,3115.0
1997-04-01,4.3243
1997-04-02,4.48
1997-04-03,4.3686
1997-04-04,4.5029
1997-04-05,2.91
1997-04-06,1.6986
1997-04-07,2.2283
1997-04-08,2.2871
1997-04-09,2.1829
1997-04-10,2.4857
1997-04-11,4.0671
1997-04-12,5.1757
1997-04-13,2.5729
1997-04-14,4.0186
1997-04-15,3.2657
1997-04-16,3.4371
1997-04-17,4.9329
1997-04-18,4.6571
1997-04-19,4.0743
1997-04-20,4.0457
1997-04-21,2.4914
1997-04-22,2.5914
1997-04-23,2.7029
1997-04-24,3.3229
1997-04-25,5424.0
1997-04-26,3.5767
1997-04-27,1.76
1997-04-28,4.3857
1997-04-29,4.3286
1997-04-30,4.4614
1997-05-01,4.0286
1997-05-02,4.3114
1997-05-03,3.92
1997-05-04,1.7433
1997-05-05,2.7117
1997-05-06,2.8067
1997-05-07,2.9
1997-05-08,3.0843
1997-05-09,3.4214
1997-05-10,2.2686
1997-05-11,1.9386
1997-05-12,4.3729
1997-05-13,4.5257
1997-05-14,2.1371
1997-05-15,2.56
1997-05-16,3.14
1997-05-17,2.82
1997-05-18,2555.0
1997-05-19,5625.0
1997-05-20,5.6671
1997-05-21,4.99
1997-05-22,4.7571
1997-05-23,3.0914
1997-05-24,2.5657
1997-05-25,2.1643
1997-05-26,3.1643
1997-05-27,4.08
1997-05-28,4.63
1997-05-29,3.5357
1997-05-30,2.2417
1997-05-31,1.7414
1997-06-01,1.8214
1997-06-02,2.9333
1997-06-03,4.7367
1997-06-04,4.5633
1997-06-05,5.3017
1997-06-06,3.8733
1997-06-07,3.4433
1997-06-08,2.6183
1997-06-09,3.2767
1997-06-10,5.0533
1997-06-11,5.9029
1997-06-12,5.9
1997-06-13,6.9129
1997-06-14,5.5929
1997-06-15,2.7971
1997-06-16,3.4129
1997-06-17,5.2214
1997-06-18,4.6557
1997-06-19,4.4943
1997-06-20,6.6883
1997-06-21,5.8957
1997-06-22,4.9257
1997-06-23,4.42
1997-06-24,5.4386
1997-06-25,6.3129
1997-06-26,5.8886
1997-06-27,4.4086
1997-06-28,3.4443
1997-06-29,3.4729
1997-06-30,2.5657
1997-07-01,2.9986
1997-07-02,5.2543
1997-07-03,6.2714
1997-07-04,6.0443
1997-07-05,3.0833
1997-07-06,5.5086
1997-07-07,5.8171
1997-07-08,2.7114
1997-07-09,5.0829
1997-07-10,7.1714
1997-07-11,7.6229
1997-07-12,2.6757
1997-07-13,4.78
1997-07-14,6.7771
1997-07-15,7.7257
1997-07-16,8.4071
1997-07-17,7.5186
1997-07-18,3.1729
1997-07-19,5.57
1997-07-20,7.5229
1997-07-21,3.7686
1997-07-22,3.51
1997-07-23,3.05
1997-07-24,2.1271
1997-07-25,2.2857
1997-07-26,1.9814
1997-07-27,4.5957
1997-07-28,7.78
1997-07-29,8.3971
1997-07-30,7.9186
1997-07-31,6.7429
1997-08-01,8.0329
1997-08-02,9.4543
1997-08-03,3.6814
1997-08-04,3.6333
1997-08-05,2.0343
1997-08-06,2.3757
1997-08-07,5.2057
1997-08-08,4.4971
1997-08-09,1.6071
1997-08-10,1.67
1997-08-11,3.43
1997-08-12,4.6043
1997-08-13,4.0529
1997-08-14,3785.0
1997-08-15,8.1867
1997-08-16,10.1414
1997-08-17,11.4429
1997-08-18,6.8429
1997-08-19,6.9486
1997-08-20,7.1114
1997-08-21,3.9829
1997-08-22,3.8857
1997-08-23,3.8117
1997-08-24,3.7467
1997-08-25,2.0786
1997-08-26,2.4786
1997-08-27,3.68
1997-08-28,4.4586
1997-08-29,4.4414
1997-08-30,4.0586
1997-08-31,4.8214
1997-09-01,5.3486
1997-09-02,6.82
1997-09-03,5.6371
1997-09-04,7.1871
1997-09-05,4.9233
1997-09-06,3.8514
1997-09-07,2.6886
1997-09-08,8.3429
1997-09-09,9.5586
1997-09-10,5.9014
1997-09-11,1.7943
1997-09-12,4.1833
1997-09-13,4.3357
1997-09-14,3.7429
1997-09-15,2.5343
1997-09-16,1.8157
1997-09-17,2.97
1997-09-18,2.4967
1997-09-19,2.4567
1997-09-20,2.7367
1997-09-21,2824.0
1997-09-22,2556.0
1997-09-23,2866.0
1997-09-24,4.2
1997-09-25,3.99
1997-09-26,2.66
1997-09-27,2.4217
1997-09-28,2.9633
1997-09-29,3.6467
1997-09-30,2.8333
1997-10-01,4894.0
1997-10-02,3685.0
1997-10-03,1.9786
1997-10-04,2.6257
1997-10-05,3.0029
1997-10-06,3.44
1997-10-07,2.0686
1997-10-08,2.6257
1997-10-09,3.8643
1997-10-10,5.4971
1997-10-11,4.7829
1997-10-12,2.7786
1997-10-13,3.2214
1997-10-14,2.4114
1997-10-15,3.7914
1997-10-16,3.5243
1997-10-17,2.0986
1997-10-18,1.6657
1997-10-19,1.4371
1997-10-20,2.8871
1997-10-21,5.2043
1997-10-22,5.2657
1997-10-23,2.0857
1997-10-24,3.8814
1997-10-25,3.9043
1997-10-26,2.5129
1997-10-27,2.2086
1997-10-28,4.6686
1997-10-29,5.0629
1997-10-30,2.5729
1997-10-31,3.1586
1997-11-01,3.5986
1997-11-02,3.2343
1997-11-03,3.8443
1997-11-04,2.07
1997-11-05,2.2971
1997-11-06,3.8643
1997-11-07,3.8257
1997-11-08,2815.0
1997-11-09,2155.0
1997-11-10,3435.0
1997-11-11,5.2917
1997-11-12,5.3357
1997-11-13,4.17
1997-11-14,4.0683
1997-11-15,1.8517
1997-11-16,2.3433
1997-11-17,4.3083
1997-11-18,4.4867
1997-11-19,2.4783
1997-11-20,2605.0
1997-11-21,3.9471
1997-11-22,3.5571
1997-11-23,2.7686
1997-11-24,3.8114
1997-11-25,2.32
1997-11-26,2.8729
1997-11-27,3.6771
1997-11-28,3.3367
1997-11-29,2.1383
1997-11-30,1.6017
